iso_code,location,total_tests_per_thousand,Z-score （HD),Log-tests, health expenditure per capita,total_tests_per_thousand,Log Health expen,Log-tests
ABW,Aruba,,-0.679091762,,,,,
MDG,Madagascar,5.88,-0.673618054,0.769377326,19.84997559,5.88,1.297759977,0.769377326
NGA,Nigeria,8.767,-0.670930538,0.942851007,71.46572876,8.767,1.854097827,0.942851007
AIA,Anguilla,,-0.679091762,,,,,
ALB,Albania,205.744,-0.487564117,2.313327179,,205.744,,2.313327179
SSD,South Sudan,13.436,-0.666584153,1.128269995,22.63818741,13.436,1.354841651,1.128269995
MOZ,Mozambique,15.729,-0.664449593,1.196701112,39.46094131,15.729,1.596167441,1.196701112
ETH,Ethiopia,20.846,-0.659686164,1.319022733,26.74220467,20.846,1.427197208,1.319022733
CIV,Cote d'Ivoire,20.859,-0.659674062,1.319293484,75.08779144,20.859,1.875569331,1.319293484
UGA,Uganda,21.724,-0.658868832,1.336939794,32.40844345,21.724,1.510658173,1.336939794
SEN,Senegal,28.263,-0.652781659,1.451218259,59.09758377,28.263,1.771569725,1.451218259
ZWE,Zimbabwe,29.536,-0.65159662,1.470351679,103.0282722,29.536,2.012956417,1.470351679
BGD,Bangladesh,30.678,-0.650533529,1.486827043,45.85716248,30.678,1.661407178,1.486827043
IDN,Indonesia,34.035,-0.647408488,1.531925755,120.1249619,34.035,2.079633263,1.531925755
TGO,Togo,34.802,-0.646694486,1.541604203,51.1550293,34.802,1.708888338,1.541604203
FJI,Fiji,46.767,-0.635556235,1.669939512,235.6750183,46.767,2.372313549,1.669939512
BES,Bonaire Sint Eustatius and Saba,,-0.679091762,,,,,
PAK,Pakistan,48.42,-0.634017453,1.685024785,39.49928665,48.42,1.596589252,1.685024785
MEX,Mexico,48.661,-0.633793106,1.68718103,540.3723145,48.661,2.73269309,1.68718103
THA,Thailand,55.926,-0.627030098,1.747613758,296.1651001,55.926,2.47153388,1.747613758
ECU,Ecuador,66.072,-0.617585159,1.820017453,486.492157,66.072,2.687075843,1.820017453
GTM,Guatemala,66.56,-0.617130878,1.823213313,271.0212708,66.56,2.433003377,1.823213313
ZMB,Zambia,69.284,-0.614595099,1.840632953,69.32437897,69.284,1.840885988,1.840632953
NPL,Nepal,78.325,-0.606178808,1.893900404,53.24640274,78.325,1.726290273,1.893900404
TTO,Trinidad and Tobago,80.162,-0.60446874,1.903968544,1167.933105,80.162,3.067417969,1.903968544
BMU,Bermuda,,-0.679091762,,,,,
JPN,Japan,83.322,-0.601527087,1.920759686,4360.473633,83.322,3.639533665,1.920759686
BOL,Bolivia,87.532,-0.597607987,1.942166852,245.9234772,87.532,2.390799991,1.942166852
PHL,Philippines,93.779,-0.591792638,1.972105597,142.0787659,93.779,2.152529176,1.972105597
TUN,Tunisia,100.146,-0.58586558,2.000633608,233.0593109,100.146,2.367466458,2.000633608
